fecha;indicativo;nombre;provincia;altitud;tmed;prec;tmin;tmax;dir;velmedia;racha;sol;presMax;presMin
01/01/2017;3260B;TOLEDO;TOLEDO;515;-0,4;0;-2,9;2,1;9;1,9;5,6;0;968,9;961,9
02/01/2017;3260B;TOLEDO;TOLEDO;515;3;0;-0,9;6,9;9;3,1;6,7;2;963,1;960,2
03/01/2017;3260B;TOLEDO;TOLEDO;515;8,4;0;2;14,8;12;0,8;4,7;4,4;966,5;962,6
04/01/2017;3260B;TOLEDO;TOLEDO;515;8,2;0;2,5;13,8;25;2,2;8,9;3,4;967,6;964,6
05/01/2017;3260B;TOLEDO;TOLEDO;515;8,8;0;4,1;13,4;99;1,4;3,9;6,7;965,6;963,6
06/01/2017;3260B;TOLEDO;TOLEDO;515;6,2;0;-0,4;12,9;11;1,4;4,7;7,1;968,3;965,2
07/01/2017;3260B;TOLEDO;TOLEDO;515;4;0;-1,6;9,6;12;1,7;5,3;3,3;970,1;967,3
08/01/2017;3260B;TOLEDO;TOLEDO;515;4,4;0;-4,2;13;12;1,1;3,9;8,8;969,5;965,5
09/01/2017;3260B;TOLEDO;TOLEDO;515;6,2;0;-2;14,4;14;1,4;5;8,9;967,3;963,2
10/01/2017;3260B;TOLEDO;TOLEDO;515;7,8;0;2;13,5;30;2,5;13,9;3,8;963,4;956,6
11/01/2017;3260B;TOLEDO;TOLEDO;515;13,4;0;7,5;19,2;35;1,4;12,5;7,6;966,2;958,3
12/01/2017;3260B;TOLEDO;TOLEDO;515;9;0;2;15,9;28;3,6;11,1;7,7;966;960,9
13/01/2017;3260B;TOLEDO;TOLEDO;515;7,6;0;3,4;11,9;36;3,6;14,4;9;964,7;960,1
14/01/2017;3260B;TOLEDO;TOLEDO;515;4,8;0;-0,9;10,4;99;2,5;8,1;7,1;968,5;964,7
15/01/2017;3260B;TOLEDO;TOLEDO;515;5,5;0;-0,6;11,6;33;3,9;12,8;8,1;969,2;966,6
16/01/2017;3260B;TOLEDO;TOLEDO;515;8,1;0;1,3;14,9;33;3,9;11,9;9,2;966,6;961,3
17/01/2017;3260B;TOLEDO;TOLEDO;515;6,2;0;-1,2;13,7;36;5;16,7;9,2;961,3;957,7
18/01/2017;3260B;TOLEDO;TOLEDO;515;1,3;0;-4,5;7,1;99;2,2;7,2;9,3;960,5;957,5
19/01/2017;3260B;TOLEDO;TOLEDO;515;2,2;0;-4,2;8,5;4;3,1;16,9;6;960,1;954,8
20/01/2017;3260B;TOLEDO;TOLEDO;515;7,2;0;3,3;11,2;5;4,7;15,8;1,2;958;954,5
21/01/2017;3260B;TOLEDO;TOLEDO;515;6,8;0;0,5;13;36;1,9;6,9;7,9;959;956,4
22/01/2017;3260B;TOLEDO;TOLEDO;515;6,6;0;-0,8;14,1;32;2,8;8,6;8,6;958,5;954,6
23/01/2017;3260B;TOLEDO;TOLEDO;515;5,8;0;-1;12,6;36;3,1;8,1;9,2;961,9;958,1
24/01/2017;3260B;TOLEDO;TOLEDO;515;6,4;0;-0,9;13,6;28;2,2;7,5;9,5;964;961,1
25/01/2017;3260B;TOLEDO;TOLEDO;515;4,4;0;-3,3;12,2;26;3,1;9,4;9,4;962,7;957,4
26/01/2017;3260B;TOLEDO;TOLEDO;515;5,6;2,6;-0,1;11,4;13;1,7;7,2;2,1;957,5;949,5
27/01/2017;3260B;TOLEDO;TOLEDO;515;7;2,8;4,4;9,6;26;3,9;12,8;2,2;956,3;947
28/01/2017;3260B;TOLEDO;TOLEDO;515;7;0;2;12;28;3,6;9,7;9,1;965;956,3
29/01/2017;3260B;TOLEDO;TOLEDO;515;8,4;0,4;5,2;11,5;27;1,7;6,1;0;965,7;963,5
30/01/2017;3260B;TOLEDO;TOLEDO;515;11,3;0;8,2;14,4;29;2,8;7,2;0,9;964,4;958,5
31/01/2017;3260B;TOLEDO;TOLEDO;515;11,2;0;6,2;16,1;12;1,9;6,7;5;958,5;955
01/02/2017;3260B;TOLEDO;TOLEDO;515;9,2;1,4;4,2;14,2;21;1,1;5,8;0,6;958,8;956,4
02/02/2017;3260B;TOLEDO;TOLEDO;515;11;1;7,6;14,4;28;3,3;20,3;1,2;958,7;951
03/02/2017;3260B;TOLEDO;TOLEDO;515;11,5;0;7,5;15,5;24;7,5;18,6;4,3;958,2;955,1
04/02/2017;3260B;TOLEDO;TOLEDO;515;13,9;2,6;10,8;17;24;7,8;19,2;2,8;957,5;953,6
05/02/2017;3260B;TOLEDO;TOLEDO;515;8,7;1,4;4,8;12,6;31;8,6;28,6;6,8;966,7;952,3
06/02/2017;3260B;TOLEDO;TOLEDO;515;10,6;0;4,8;16,3;30;5,6;13,9;9,1;967,3;964,6
07/02/2017;3260B;TOLEDO;TOLEDO;515;10,6;0;6,6;14,5;36;3,9;14,7;3;966,1;961,7
08/02/2017;3260B;TOLEDO;TOLEDO;515;7,8;0;3,3;12,2;35;4,2;16,7;9,7;968,1;964,2
09/02/2017;3260B;TOLEDO;TOLEDO;515;6,8;0;-0,6;14,1;10;1,4;8,3;8;965,6;951,6
10/02/2017;3260B;TOLEDO;TOLEDO;515;5,4;0,6;1,1;9,6;11;1,7;8,9;0,9;953,2;950,2
11/02/2017;3260B;TOLEDO;TOLEDO;515;7,2;0,2;5,5;8,9;12;3,6;9,2;0;951,7;944
12/02/2017;3260B;TOLEDO;TOLEDO;515;10,2;6,8;7,9;12,4;16;3,6;12,5;0;944;939,1
13/02/2017;3260B;TOLEDO;TOLEDO;515;9,8;0,8;6,2;13,3;16;5,3;15,8;4,2;957,3;938,5
14/02/2017;3260B;TOLEDO;TOLEDO;515;8,2;0;2,5;14;99;1,9;4,4;4,1;966,5;957,3
15/02/2017;3260B;TOLEDO;TOLEDO;515;8,8;0;2,8;14,7;6;3,6;8,9;8,9;969,9;966,5
