fecha;indicativo;nombre;provincia;altitud;tmed;prec;tmin;tmax;dir;velmedia;racha;sol;presMax;presMin
01/01/2017;1505;LUGO AEROPUERTO;LUGO;445;0,8;0,6;-4,9;6,6;19;0,8;6,1;0;975,7;962,8
02/01/2017;1505;LUGO AEROPUERTO;LUGO;445;7,2;0;2,6;11,9;17;0,8;5,8;0,3;967,6;962,2
03/01/2017;1505;LUGO AEROPUERTO;LUGO;445;9,8;0,2;4,9;14,8;16;1,1;4,7;1,9;974,3;967,3
04/01/2017;1505;LUGO AEROPUERTO;LUGO;445;10,1;0;5,5;14,7;99;1,4;4,2;0,7;975,8;973,7
05/01/2017;1505;LUGO AEROPUERTO;LUGO;445;8;0;1,3;14,6;99;0,3;5,8;3,8;975,8;974,5
06/01/2017;1505;LUGO AEROPUERTO;LUGO;445;2,7;0;-1,4;6,8;6;0,6;3,6;0,5;977,7;975,3
07/01/2017;1505;LUGO AEROPUERTO;LUGO;445;2,4;0;-4,3;9,1;31;0,6;2,5;5;979;977,1
08/01/2017;1505;LUGO AEROPUERTO;LUGO;445;2,3;0;-5,6;10,2;13;0,8;2,5;6,7;979,6;976,8
09/01/2017;1505;LUGO AEROPUERTO;LUGO;445;4;0,2;-3,8;11,7;29;0,8;2,8;5;978,2;974,3
10/01/2017;1505;LUGO AEROPUERTO;LUGO;445;7;1,8;4,2;9,7;35;0,8;5;0;974,9;972,2
11/01/2017;1505;LUGO AEROPUERTO;LUGO;445;11;;7,8;14,2;28;0,6;3,9;0,9;976,4;973,8
12/01/2017;1505;LUGO AEROPUERTO;LUGO;445;7,2;3,4;4,2;10,2;29;1,4;8,3;0;974,8;970,3
13/01/2017;1505;LUGO AEROPUERTO;LUGO;445;4;2,4;0,5;7,6;36;0,8;6,9;2,3;977,8;974,5
14/01/2017;1505;LUGO AEROPUERTO;LUGO;445;3,7;0,8;-0,4;7,8;6;0,6;3,9;3,4;980,5;977,4
15/01/2017;1505;LUGO AEROPUERTO;LUGO;445;4,3;1,8;0,9;7,7;4;0,6;6,7;0,3;981,7;979,8
16/01/2017;1505;LUGO AEROPUERTO;LUGO;445;6,2;2,6;3,7;8,7;8;0,8;6,4;0,1;980,3;975,7
17/01/2017;1505;LUGO AEROPUERTO;LUGO;445;5,6;0;0,2;11,1;6;1,7;8,9;1,8;975,7;972,8
18/01/2017;1505;LUGO AEROPUERTO;LUGO;445;2,2;0;-1,3;5,7;6;3,9;14,2;7;973,5;970,3
19/01/2017;1505;LUGO AEROPUERTO;LUGO;445;1,4;0;-3,7;6,5;7;2,2;8,6;6,5;971,7;967,6
20/01/2017;1505;LUGO AEROPUERTO;LUGO;445;1;0;-5,9;8;8;1,7;5,8;7,5;969,5;967
21/01/2017;1505;LUGO AEROPUERTO;LUGO;445;0,6;0;-5,9;7,2;35;0,6;2,8;6,3;969,9;967,6
22/01/2017;1505;LUGO AEROPUERTO;LUGO;445;-0,8;0;-4,4;2,7;6;0,6;2,8;0,9;971;968,7
23/01/2017;1505;LUGO AEROPUERTO;LUGO;445;3;0;-3,8;9,7;6;0,6;7,2;3,5;972,9;970,5
24/01/2017;1505;LUGO AEROPUERTO;LUGO;445;1,4;0;-4,9;7,7;33;0,8;3,9;6,7;975,3;972,3
25/01/2017;1505;LUGO AEROPUERTO;LUGO;445;3,3;0,2;-6,3;12,9;20;0,8;4,7;7,4;972,3;962,7
26/01/2017;1505;LUGO AEROPUERTO;LUGO;445;6,4;0,6;1,7;11,2;18;3,1;11,9;0;962,7;951,8
27/01/2017;1505;LUGO AEROPUERTO;LUGO;445;5,7;5,2;3,6;7,8;22;1,9;8,3;0,8;964,6;950
28/01/2017;1505;LUGO AEROPUERTO;LUGO;445;7,2;0,4;3,7;10,6;25;2,8;8,6;3,1;969,4;964,3
29/01/2017;1505;LUGO AEROPUERTO;LUGO;445;10,5;1,8;8,2;12,8;25;3,9;10;0,4;968,9;965,3
30/01/2017;1505;LUGO AEROPUERTO;LUGO;445;11,6;0,6;9,8;13,3;22;3,6;12,2;0;968,5;960,1
31/01/2017;1505;LUGO AEROPUERTO;LUGO;445;9,7;8,8;8,3;11,1;18;2,5;10,8;0,1;962,2;958,7
01/02/2017;1505;LUGO AEROPUERTO;LUGO;445;10,4;3,6;7,9;13;99;4,4;15;3,9;962,4;951,7
02/02/2017;1505;LUGO AEROPUERTO;LUGO;445;7,8;27,8;4,5;11,2;25;4,7;20,3;1,9;959;948,2
03/02/2017;1505;LUGO AEROPUERTO;LUGO;445;8,8;25,2;6,2;11,5;24;5;23,1;0;958,5;947,6
04/02/2017;1505;LUGO AEROPUERTO;LUGO;445;8,3;53;5,4;11,2;27;4,7;18,1;0;959,3;952,2
